start
CARI_inc_cat
dep_ratio_cat
Division
FCG
FCS_Score
FCSDairy
FCSFat
FCSFruit
FCSPr
FCSPulse
FCSStap
FCSSugar
FCSVeg
FG_HIron_Cat
FG_Protein_Cat
FG_VitA_Cat
Food_SRf1
HDwellCond
HH_04
HH_Disabled
HH_Inc_Reduced
HHBorrow
HHFarm
HHHEdu
HHhsBedHung_YN
HHHSex
HHIll
HHRemitt_YN
HHSchoolSituation
HWaterConstrYN
LCS_Begging_Y
LCS_Other_Y
LCS_RedEduExp_Y
LCS_RedFoodWaste_Y
LCS_RedHlthExp_Y
LCS_SoldAgProd_Y
LCS_SoldAsset_Y
LCS_SoldFemAnm_Y
LCS_SoldJewelry_Y
LCS_SoldLand_Y
LCS_SoldMoreAnm_Y
LCS_SoldProdAsset_Y
LCS_SpentSavings_Y
LCS_TradeService_Y
LCS_WithdrawEdu_Y
LhCSI_cat
MDDI_Dep_Cat
MDDI_Dep_Sum
PrefLang
rCARI
rCARI_cat
Round
Rural
WitGenViolence
Worry_DisruptEdu_Y
Worry_DisruptLiv_Y
Worry_DisruptMed_Y
Worry_FoodPrices_Y
Worry_FoodShort_Y
Worry_Illness_Y
Worry_MedShort_Y
Worry_None_Y
Worry_NoWork_Y
Worry_Other_Y
Worry_TravelRestr_Y
