ADM1INName
start
CARI_inc_cat
dep_ratio_cat
FCG
FCS_Score
FCSDairy
FCSFat
FCSFruit
FCSPr
FCSPulse
FCSStap
FCSSugar
FCSVeg
FG_HIron_Cat
FG_Protein_Cat
FG_VitA_Cat
Food_SRf1
FoodInsecure
HDwellCond
HH_04
HH_Disabled
HH_Inc_Reduced
HHBorrow
HHFarm
HHHEdu
HHhsBedHung_YN
HHHSex
HHIll
HHRemitt_YN
HHSchoolSituation
HWaterConstrYN
LhCSI_cat
MDDI_Dep_Cat
MDDI_Dep_Sum
PrefLang
rCARI
rCARI_cat
Round
Rural
WitGenViolence
Worry_DisruptEdu_Y
Worry_DisruptLiv_Y
Worry_DisruptMed_Y
Worry_FoodPrices_Y
Worry_FoodShort_Y
Worry_Illness_Y
Worry_MedShort_Y
Worry_None_Y
Worry_NoWork_Y
Worry_Other_Y
Worry_TravelRestr_Y
