ADM1INName,Pop
Ba,231760
Naitasiri,160760
Rewa,100787
Macuata,72441
Tailevu,65965
Nadroga-Navosa,58387
Cakaudrove,49344
Ra,29464
Serua,18249
Namosi,6898
Bua,14176
Lomaiviti,16461
Lau,10683
Kadavu,10167
Rotuma,2002
